spotify_id,name,followers,popularity
4vcc1VAbvzJjbMTsPYL6OU,黄霄雲,14334,47
4Wf4s9fjkHKp1B4kD86u4w,Sherol Dos Santos,6172,6
6wje46d51a0hZE1gqkKL3J,TAEW,1385,31
6kG0WKHsAOfWp5IsizmQxR,SACHI,15361,40
0qZWRrQj38rwkxeRQ3HowZ,Ruben Annink,22014,43
7EuXVmTcFfpvmFbi1CTctP,Kuningasidea,19686,33
0Do6bAo2kcVLp7ekzypskJ,A Banca Records,142541,49
1miuiUk8Xya3zRHZzqAYAW,Mokke,4495,42
0AtQAehoytV7j1r4O16dRb,Cooper Alan,251538,57
4ur1jCwyNlhgd0viJkOtcQ,YooA,54528,37
6bUbaWCjpjUl7pBQ4FQKgF,Linus S,5519,4
5qpRZGcyFKPkQqecBMZ1wz,Kamerzysta,142172,35
5tG5dl5mS2wB5w72YBpsyg,Herbert Grönemeyer,629217,57
2PVg2kfkw7jNNVfy6ouB3H,Kpri,41055,47
1zO1FWFxxNUCqUuGATxZQZ,Gyakie,145598,51
6meomXUCnPUYEWxITWNVZ0,Sherman Chung,10196,30
7mC8Nb2rN3hM0v0bpxaMzL,Kartky,277385,53
4h50ekU1ax70sX6deaIli9,RPG,10919,30
5M3ffmRiOX9Q8Y4jNeR5wu,Wren Evans,26609,47
12SCd6QOxrQJIfAe5Y4bDN,Marty McKay,2545,10
2zWCw43oRZ74LlMb14JWVR,Cravata,218031,42
00Ja3YjvU4DYCHWt6cPs42,Jolyon Petch,25807,50
4kwEd1P9j15ZqUVP5zK7Pv,Joe Stone,32782,55
7drPVZKqAnbY227UltZV3l,Benedixhion,14722,39
3jPN2U65cMPzvozEBue5zp,SIDARTA,31493,60
5xRZqaqEy9SX8GrmtXoSGT,G22,6659,33
7BGR8y1VZAWK2oR4zD9COr,Protoje,335321,58
78G38bSvPxoyNTM9AzgkIP,Frank Løke,696,13
23jUmiOyAG9Dzq6Ayp9LUG,SPACESPEAKERS,125637,28
4vH9G6Sah9CmkDMDy4jUwe,Sphera,1867,21
6NwYl6JuXxC9H8T0hkNg6Q,Herra Ylppö,25030,33
55tJwpPIz9BMrSLM45iEXX,9MUSES,58,38
2cHdytz9MoYGg1SReBPTWY,La Vida Moderna,4793,1
0BMQhit4vJRkf4b1HO5qXv,ปรีชา ปัดภัย,11296,29
7fFoO8E3rLkTJBItdhAwCy,Lars-Erik Larsson,1838,16
5nWpcynsaMBFgtGmJODhdi,Devano,532807,45
3JiKtJqdJ3qUhJRphJk1cT,Thodoris Ferris,34452,44
3qL7BzwJOXq3EzAio36aLX,Ghea Indrawari,130128,49
1BjUnGUvkdXUi1ULgcgZvQ,Mc Anônimo,71245,38
04MtOUkmIDC4LAxDDBjrOY,Andre Hazes,624155,60
6p3G10bi9yrw3me7CDrCta,ACE COLLECTION,42762,43
2bdcBjvuI9worc472GbeU0,Samuel Kim,255766,65
4eU1y1C4Jxr7eFA56Aivwf,Trifecta,175,8
0BUTvSwaoKcP9ucuEyyYpr,Cassandra,16553,45
23fqKkggKUBHNkbKtXEls4,Kygo,8134874,80
0YUrJpMVgqTxD8UnfPRKEh,Fulo El Yeyo,17689,36
5rI6C5mJm6GYXbGHhpHTu9,Attaque 77,479470,57
6SsTlCsuCYleNza6xGwynu,Agnes,118389,56
6SIzX2yHlfa3V0xDHLmrbe,ConfidentialMX,2122,26
5a8n5eVrmneQvM5cRCqjfw,Ronnie Hussein,13568,28
6nEgkeR03q2qtKZmrVq100,El Villano,294637,45
5UOOgRWguRmVZo1voJuQpf,Orgânico,196759,54
7cEaNXXTHx3LokbjUUyHal,BIG Naughty,175577,59
75MOYjGEyyH5U4ZFHOPvxR,Lim Young Woong,43188,54
15UyjlO0ZuDaSjXUGytDbI,U Sung Eun,17395,36
1qGohIp3a4kh1Euymx0pyL,Ocean Park Standoff,27933,48
1WgXqy2Dd70QQOU7Ay074N,AURORA,2426951,73
7AuBGlcUaHok37yr6u963C,Ehab Tawfik,352880,42
5Y1GOHdRGUuisf1Z2fCOUL,Spoky1911,21,0
7h1amg0X7Q5d0D5KfuyKTg,Pyrex,29130,57
08XpoQUQ8CrwDVMo1BOEpj,Hala Al Turk,41244,28
584RKJOLzbEflvpk6qFPS1,MC Ysa,21592,32
0TW5M8RYADmgeCP1q523hf,Kjartan Lauritzen,22029,42
3wYcmejLVtOoHIq9szUugh,Kaho Hung,24853,53
5tf7Xldyt8YlDmudOZU0oh,Gimpson,3610,0
5RdLYZ9xsG0EEVyn5Eetnh,Pimeys,3370,16
4NGKV5T9KOY3eGtJ42fax0,Fynn Jamal,17459,32
1Pu2OFhNGOTakxDgxoIXiv,Diego Boneta,90846,51
7hwN21Cb3TydnAl2o3iOsE,starclouds,403,0
5qRaZYOswQo7YMPgvdfU2f,25 hours,275793,49
2RxCv6j8Wu2rYbmtOBvg6F,Abdul Majeed Abdullah,860938,45
2Wihg8pti3bPnQ4ByrU309,Moreno,40619,28
0cbL6CYnRqpAxf1evwUVQD,Die Ärzte,871401,65
7JthQ6zwNzfxRfIEjp6wUs,HIRAIDAI,1205276,66
08ZqXO40nMrhBoGma4kls2,SyKo,117715,58
5RRPSRJpISAWEPOeSfYuhV,Rino Gaetano,647105,55
5XkrVVn0lQIVPkH55nbTgZ,R-chord,146283,45
0FEJqmeLRzsXj8hgcZaAyB,Indila,953840,68
7EK1bQADBoqbYXnT4Cqv9w,John Denver,1646622,67
24BYRlsS8uIO4jA71mJ4Js,Imran Khan,1500980,63
6sYR8JTRUUUzSD9IydLhfG,Guizmo,528654,52
5U1dINFKjJlYNOSdMrHlRh,16 Typh,162704,41
5r0Fhn5JfkbhPG8wXRu0iY,Xiao Qiu,11728,30
6GTyqYZ5IvCrYwpVoPqNkq,Ylona,141,4
15EdXJSvJSrjOGXsIimK0d,Ameen Khattab,213478,33
5t8dw8yCWNAezW6wP3ZOGh,Alex Kunnari,4341,33
5nPOO9iTcrs9k6yFffPxjH,Röyksopp,785861,62
5snNHNlYT2UrtZo5HCJkiw,Epik High,630279,56
30ut8L4gmEz4vNr1zNhpbh,Ida Corr,19008,54
64d1rUxfizSAOE9UbMnUZd,Sezen Aksu,6287949,68
1FiQqcHOoNc3yLBnYq8UAE,6licium,430,19
78rEst9B8h5utylmzIoUgb,Samuel Jack,10943,50
1AACxWCwNIa3ecOBQJnXRV,Nino Freestyle,122160,50
6HYjkczJfUdGcwIGPOq5P2,Myra Granberg,26819,54
6MlVGjgieHwMJCPBjU41dN,Maciej Musiałowski,18644,32
27vSXvM0Ht2xGwRUUwpBAg,Jaylann,9149,36
2FgZrgTMX6Sk0VNcOsEPmm,Punch,262950,62
05X5qdeeGgBQe115bTNlWu,Pede B,18460,40
7J1vWiNwuDejpbK41xiuSH,Arrow,1510,0
0z2GNeBgnQO3UPOmqpAi1X,Jeff,0,0
6lESE9VeLV05vQBw8TB4YA,IT’S,1331,20
5bbDzC9XXR8rxW9OIjAven,gazzzy,8811,52
1WLKjYJX9YHSlwufclauhg,URBOYTJ,762615,52
3GmeMFpBRcVlf9OUwlsuo0,Jens Book-Jenssen,1776,21
6CAOElXrWvhb594GKitCch,Trunks,32391,50
0WAZJYudbUpl0EOjvdrnRG,Julio Bashmore,67425,36
5lLpwQ6qv9uml76PIiRhxn,Kandráčovci,15578,36
15A3eJ05XZObM0QEh1zfTo,นนน กรภัทร์,80939,44
0rEuaTPLMhlViNCJrg3NEH,Beast In Black,201836,60
2BTS8Np1YzPQuXjgdlqsBB,Emanero,60564,59
0Ya43ZKWHTKkAbkoJJkwIB,The Wombats,1005825,66
1uIxyLR92jtMUHggz3Whvg,Sestā Jūdze,1555,23
5R42oko4xV2U7uqlZXbzqk,Simeon,2025,36
4YXycRbyyAE0wozTk7QMEq,Matoma,706492,66
1itXAnp2giHFQSzcvdN7xg,H16,62058,40
44pWZb5cKs7MHIMPwQNcZc,Olivia Eliasson,1233,8
77QIEno3j2L5WkrHkh2OnP,Sir Mich,33369,57
6sfUgwUTFjy1SNF2uWOcPp,Kate Miller-Heidke,63804,40
4GAS1OgXh8D5pEA6s6eBNW,Valentino,179208,50
7qPLO2XOUaRrRxkvLZ3AEK,Zeeba,218502,62
15kGQ75uyHlhEeK4ZK40YB,ROS,9423,17
5Cbb6xFbK9HY3T2HvC0Wwm,Christmas Zero,0,0
6VPUQ3UqHxeeVvROl2kZqb,Lukr,6020,29
6ybPDO4tvcfSl9SbHzrB8K,Aida gean,2,0
1l5hkQZj28djsCJWtN62wm,Zayed Al Saleh,10829,20
7yK3vix9XmeNwPDmjGs78F,Manal,410396,51
4LWoeUqnRrGEulTsTZrFdd,Kaja Rode,474,11
3UwlejyX2b458azZ7eCnHb,HyunA,2002179,58
0YMeriqrS3zgsX24nfY0F0,The Tragically Hip,849612,59
7rTPCNINGzMp3Hc8Xqht5Z,13 Block,633359,52
2wHicAG4gMIseKmYuPUcIw,Vojtaano,14594,38
78u00MLyG46IkmM8HC6H0l,Mew Suppasit,131211,45
0r0R5nIjDY04TfxRM10Bcb,Alligatoah,1047227,65
4qRXrzUmdy3p33lgvJEzdv,Paul Kim,199848,52
3hq7WoPJsrRP0KMSLhUgRz,Murilo Huff,365942,72
5Vo1hnCRmCM6M4thZCInCj,Official HIGE DANdism,4802003,70
2wIcDrGIOP35LTxKLpiwXX,Sevz,764,35
360IAlyVv4PCEVjgyMZrxK,Miguel,4195623,77
2vm8GdHyrJh2O2MfbQFYG0,Ingrid Michaelson,780402,59
5ttgIeUVka6FLyi00Uu5h8,Jauz,373735,58
2Z9KL8Zmqx5Sg3cd7Fldhl,Olexesh,858401,64
0NIIxcxNHmOoyBx03SfTCD,Tinashe,2440457,69
27T030eWyCQRmDyuvr1kxY,Scorpions,5776554,72
5ZVHfahjeu8Z81RYyhcLDH,Euroo,9696,40
5r9ztVKKvfGfouL15P2Ixw,Hans Entertainment,7432,28
1XLjkBxFokuDTlHt0mQkRe,Thomas Gold,163074,51
66NmU5epI0ONGmdCRbLpmW,Feby Putri,1126780,65
7w29MU70EVgvR0c5f4wIxf,Winterland Big Band,3,0
6BNMwUozbYoSSgTJPWKXRH,Doris 68,2,0
4kYSro6naA4h99UJvo89HB,Cardi B,20361435,80
5ZOMkfINXvTF4GqNwHPsfW,Badoxa,135913,45
5qZLYtTL3ldN6Uw7OXHESR,Sa4,241730,59
4yos94vHbPhhiNdyYO2uan,POL1Z1STENS0HN a.k.a. Jan Böhmermann,43861,36
4pAV5NzEnMeNxokMWop1Gr,Circle 9,81,0
0xs0DDAAat35MBE3KVOlVY,Dubbo,3025,6
5lXfVoQxVgC5fpjkVqvNYn,Isaiah Firebrace,52781,49
2GHclqNVjqGuiE5mA7BEoc,Common,833451,62
16srr0TMexvouPYyxjoBfy,Dragana Kosic,4,0
7H3TyvM3dpW78cru0Oaui9,YONII,155568,50
7c1HgFDe8ogy5NOZ1ANCJQ,"Car, the garden",110672,51
5DkmrXKeWgDS86KKEw45o6,Rancore,170918,51
6QpiYjzVCiO7063DWLTII7,HammAli,84170,42
3DRcGS7R3ExecDZjfne2HM,Krozz,265,20
5rmy4yOHBOptMctO6t5Drl,Kim Chiu,161108,34
3ront3zvcdInux0rUVQLF2,Tur-G,34914,38
